Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2019_6-9_2209_SVN_R_C.jpg,2019,6-9,2,SVN,Slovenia,Western and Southern Europe,Western and Southern Europe,"(902, 1255)",[117.47047111 144.53959329 127.7659314 ],7009.047535223355
2019_6-9_2208_SVN_R_C.jpg,2019,6-9,2,SVN,Slovenia,Western and Southern Europe,Western and Southern Europe,"(891, 1242)",[146.49923461 148.03174978 125.63599224],5957.32397432711
2019_6-9_2207_SVN_R_C.jpg,2019,6-9,2,SVN,Slovenia,Western and Southern Europe,Western and Southern Europe,"(1235, 898)",[109.90276007  82.40018665  64.93450493],3847.353644600919
2019_6-9_2182_IND_R_C.jpg,2019,6-9,2,IND,India,S. Asia,S. Asia,"(1661, 1149)",[95.75665304 82.61177036 72.90650667],2437.993751131059
2019_6-9_2204_UKR_R_C.jpg,2019,6-9,2,UKR,Ukraine,Eastern Europe,Eastern Europe,"(1239, 879)",[72.26319805 58.69831445 64.42458183],1673.4669775064149
2019_6-9_2204_SVN_R_C.jpg,2019,6-9,2,SVN,Slovenia,Western and Southern Europe,Western and Southern Europe,"(1258, 911)",[86.15055347 88.32496043 86.86105435],11234.541357354245
2019_6-9_2094_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(1260, 1751)",[62.33022898 59.8115757  63.21192652],848.4985337194446
2019_6-9_2093_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(1335, 1874)",[ 87.85805763  94.83068603 117.54250716],3019.9266910188653
2019_6-9_2201_KGZ_R_C.jpg,2019,6-9,2,KGZ,Kyrgyzstan,Central Asia,Others,"(627, 887)",[196.93523678 198.74746156 193.29513134],3610.198609173676
2019_6-9_2082_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(1256, 909)",[159.07517623 107.87993298  94.79908453],4292.134074975302
2019_6-9_2088_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(893, 1245)",[145.18525344 145.95165882 138.62777695],9993.432507401183
2019_6-9_2079_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(1281, 1799)",[58.88691697 35.01952685 26.91311853],378.4633320712814
2019_6-9_2187_IND_R_C.jpg,2019,6-9,2,IND,India,S. Asia,S. Asia,"(1115, 1674)",[86.69571178 72.21615368 48.12792967],1813.983469808935
2019_6-9_2071_THA_R_C.jpg,2019,6-9,2,THA,Thailand,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(1487, 1071)",[39.31594454 42.12993218 44.35892833],1253.5880920678248
2019_6-9_2211_NGA_R_C.jpg,2019,6-9,2,NGA,Nigeria,North and Sub-Saharan Africa,Others,"(794, 949)",[153.54926172 161.00024286 143.29493727],7083.7859529551615
2019_6-9_2087_LVA_R_C.jpg,2019,6-9,2,LVA,Latvia,Northern Europe,Northern Europe,"(1254, 897)",[112.2679088   94.95058222  49.02837297],4018.5718710222936
